Eye,Params.Display.Eye.Alpha
,Params.Display.Eye.Format
,Params.Display.Eye.Color
,Params.Display.Eye.TraceDuration
,Params.Display.Eye.On
,Params.Display.Eye.Diameter
Fix,Params.Display.Fix.On
,Params.Display.Fix.Color
,Params.Display.Fix.Diameter
,Params.Display.Fix.Width
,Params.Display.Fix.Format
Grid,Params.Display.Grid.BullsEyeWidth
,Params.Display.Grid.Bullseye
,Params.Display.Grid.Meridians
,Params.Display.Grid.On
,Params.Display.Grid.Color
,Params.Display.Grid.Spacing
,Params.Display.Grid.Width
,Params.Display.Grid.Format
,Params.Display.Grid.MeridiansOn
PD,Params.Display.PD.Position
,Params.Display.PD.Diameter
,Params.Display.PD.Color
,Params.Display.PD.Rect
,Params.Display.PD.On
,Params.Display.PD.ExpRect
,Params.Display.PD.SubRect
,Params.Display.PD.Screen
Screen,Params.Display.Screen.ID
,Params.Display.Screen.XScreenRect
,Params.Display.Screen.RefreshRate
,Params.Display.Screen.BackgroundColor
,Params.Display.Screen.SubExpFlip
,Params.Display.Screen.ExpDispPos
Basic,Params.Display.Basic.ViewingDist
,Params.Display.Basic.ScreenDims
,Params.Display.Basic.Rect
,Params.Display.Basic.WinScale
Stereo,Params.Display.Stereo.IPD
,Params.Display.Stereo.Mode
,Params.Display.Stereo.DisplayFormat
,Params.Display.Stereo.ExpDisplayFormat
GazeWin,Params.Display.GazeWin.On
,Params.Display.GazeWin.Color
,Params.Display.GazeWin.Format
,Params.Display.GazeWin.Width
,Params.Display.GazeWin.Diameter
,Params.Display.GazeWin.Dimensions
Info,Params.Display.Info.BkgOn
,Params.Display.Info.BkgRGB
,Params.Display.Info.BkgAlpha
,Params.Display.Info.FontRGB
,Params.Display.Info.FontSize
,Params.Display.Info.FontName
,Params.Display.Info.ProgressFormat
,Params.Display.Info.EpochFormat
,Params.Display.Info.ToggleTimer
,Params.Display.Info.ToggleEpoch
,Params.Display.Info.ToggleReward
,Params.Display.Info.ToggleFixation
,Params.Display.Info.ToggleResponse
,Params.Display.Info.PanelPosStr
PTB,Params.Display.PTB.SkipSyncTests
,Params.Display.PTB.SuppressWarnings
,Params.Display.PTB.VisualDebugLevel
,Params.Display.PTB.Verbosity
,Params.Display.PTB.PsychDefaultSetup
